"","feature_set","resample","problem","C"
"66","tsfeatures",8,"AconityMINIPrinterLarge",0.0464158883361278
"67","TSFEL",8,"AconityMINIPrinterLarge",0.0464158883361278
"68","Kats",8,"AconityMINIPrinterLarge",0.359381366380463
"69","tsfresh",8,"AconityMINIPrinterLarge",0.00599484250318941
"70","FFT (Mag^2 + Angle) + quantiles",8,"AconityMINIPrinterLarge",0.00599484250318941
"71","Quantiles",8,"AconityMINIPrinterLarge",0.0464158883361278
"72","FFT coef. (Mag^2 + Angle)",8,"AconityMINIPrinterLarge",0.00599484250318941
"73","catch22",9,"AconityMINIPrinterLarge",2.78255940220713
"74","feasts",9,"AconityMINIPrinterLarge",166.810053720006
"75","tsfeatures",9,"AconityMINIPrinterLarge",0.0464158883361278
"76","TSFEL",9,"AconityMINIPrinterLarge",0.359381366380463
"77","Kats",9,"AconityMINIPrinterLarge",166.810053720006
"78","tsfresh",9,"AconityMINIPrinterLarge",0.00599484250318941
"79","FFT (Mag^2 + Angle) + quantiles",9,"AconityMINIPrinterLarge",0.00599484250318941
"80","Quantiles",9,"AconityMINIPrinterLarge",0.00599484250318941
"81","FFT coef. (Mag^2 + Angle)",9,"AconityMINIPrinterLarge",0.00599484250318941
"82","catch22",10,"AconityMINIPrinterLarge",166.810053720006
"83","feasts",10,"AconityMINIPrinterLarge",2.78255940220713
"84","tsfeatures",10,"AconityMINIPrinterLarge",0.359381366380463
"85","TSFEL",10,"AconityMINIPrinterLarge",0.0464158883361278
"86","Kats",10,"AconityMINIPrinterLarge",1291.54966501488
"87","tsfresh",10,"AconityMINIPrinterLarge",0.00599484250318941
"88","FFT (Mag^2 + Angle) + quantiles",10,"AconityMINIPrinterLarge",0.00599484250318941
"89","Quantiles",10,"AconityMINIPrinterLarge",0.0464158883361278
"90","FFT coef. (Mag^2 + Angle)",10,"AconityMINIPrinterLarge",0.00599484250318941
"91","catch22",11,"AconityMINIPrinterLarge",21.5443469003188
"92","feasts",11,"AconityMINIPrinterLarge",21.5443469003188
"93","tsfeatures",11,"AconityMINIPrinterLarge",2.78255940220713
"94","TSFEL",11,"AconityMINIPrinterLarge",0.359381366380463
"95","Kats",11,"AconityMINIPrinterLarge",0.359381366380463
"96","tsfresh",11,"AconityMINIPrinterLarge",0.00599484250318941
"97","FFT (Mag^2 + Angle) + quantiles",11,"AconityMINIPrinterLarge",0.00599484250318941
"98","Quantiles",11,"AconityMINIPrinterLarge",0.359381366380463
"99","FFT coef. (Mag^2 + Angle)",11,"AconityMINIPrinterLarge",0.00599484250318941
"100","catch22",12,"AconityMINIPrinterLarge",2.78255940220713
"101","feasts",12,"AconityMINIPrinterLarge",0.359381366380463
"102","tsfeatures",12,"AconityMINIPrinterLarge",0.0464158883361278
"103","TSFEL",12,"AconityMINIPrinterLarge",10000
"104","Kats",12,"AconityMINIPrinterLarge",2.78255940220713
"105","tsfresh",12,"AconityMINIPrinterLarge",0.00599484250318941
"106","FFT (Mag^2 + Angle) + quantiles",12,"AconityMINIPrinterLarge",0.00599484250318941
"107","Quantiles",12,"AconityMINIPrinterLarge",0.0464158883361278
"108","FFT coef. (Mag^2 + Angle)",12,"AconityMINIPrinterLarge",0.00599484250318941
"109","catch22",13,"AconityMINIPrinterLarge",2.78255940220713
"110","feasts",13,"AconityMINIPrinterLarge",166.810053720006
"111","tsfeatures",13,"AconityMINIPrinterLarge",166.810053720006
"112","TSFEL",13,"AconityMINIPrinterLarge",0.359381366380463
"113","Kats",13,"AconityMINIPrinterLarge",1291.54966501488
"114","tsfresh",13,"AconityMINIPrinterLarge",0.00599484250318941
"115","FFT (Mag^2 + Angle) + quantiles",13,"AconityMINIPrinterLarge",0.00599484250318941
"116","Quantiles",13,"AconityMINIPrinterLarge",0.0464158883361278
"117","FFT coef. (Mag^2 + Angle)",13,"AconityMINIPrinterLarge",0.00599484250318941
"118","catch22",14,"AconityMINIPrinterLarge",21.5443469003188
"119","feasts",14,"AconityMINIPrinterLarge",0.359381366380463
"120","tsfeatures",14,"AconityMINIPrinterLarge",1291.54966501488
"121","TSFEL",14,"AconityMINIPrinterLarge",10000
"122","Kats",14,"AconityMINIPrinterLarge",21.5443469003188
"123","tsfresh",14,"AconityMINIPrinterLarge",0.00599484250318941
"124","FFT (Mag^2 + Angle) + quantiles",14,"AconityMINIPrinterLarge",0.00599484250318941
"125","Quantiles",14,"AconityMINIPrinterLarge",0.0464158883361278
"126","FFT coef. (Mag^2 + Angle)",14,"AconityMINIPrinterLarge",0.00599484250318941
"127","catch22",15,"AconityMINIPrinterLarge",21.5443469003188
"128","feasts",15,"AconityMINIPrinterLarge",2.78255940220713
"129","tsfeatures",15,"AconityMINIPrinterLarge",0.0464158883361278
