"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"FFT (Mag^2 + Angle) + quantiles",231,0.776,12,"SwedishLeaf","pyridge","cv"
"Quantiles",101,0.7136,12,"SwedishLeaf","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",130,0.5536,12,"SwedishLeaf","pyridge","cv"
"catch22",22,0.8176,13,"SwedishLeaf","pyridge","cv"
"feasts",37,0.8992,13,"SwedishLeaf","pyridge","cv"
"tsfeatures",59,0.9168,13,"SwedishLeaf","pyridge","cv"
"TSFEL",144,0.9136,13,"SwedishLeaf","pyridge","cv"
"Kats",36,0.8912,13,"SwedishLeaf","pyridge","cv"
"tsfresh",594,0.888,13,"SwedishLeaf","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",231,0.7904,13,"SwedishLeaf","pyridge","cv"
"Quantiles",101,0.7168,13,"SwedishLeaf","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",130,0.5712,13,"SwedishLeaf","pyridge","cv"
"catch22",22,0.8416,14,"SwedishLeaf","pyridge","cv"
"feasts",37,0.9088,14,"SwedishLeaf","pyridge","cv"
"tsfeatures",59,0.9344,14,"SwedishLeaf","pyridge","cv"
"TSFEL",144,0.9216,14,"SwedishLeaf","pyridge","cv"
"Kats",36,0.9088,14,"SwedishLeaf","pyridge","cv"
"tsfresh",595,0.9072,14,"SwedishLeaf","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",231,0.7808,14,"SwedishLeaf","pyridge","cv"
"Quantiles",101,0.704,14,"SwedishLeaf","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",130,0.5712,14,"SwedishLeaf","pyridge","cv"
"catch22",22,0.8096,15,"SwedishLeaf","pyridge","cv"
"feasts",37,0.904,15,"SwedishLeaf","pyridge","cv"
"tsfeatures",59,0.9072,15,"SwedishLeaf","pyridge","cv"
"TSFEL",144,0.92,15,"SwedishLeaf","pyridge","cv"
"Kats",36,0.9152,15,"SwedishLeaf","pyridge","cv"
"tsfresh",595,0.9248,15,"SwedishLeaf","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",231,0.7952,15,"SwedishLeaf","pyridge","cv"
"Quantiles",101,0.7168,15,"SwedishLeaf","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",130,0.568,15,"SwedishLeaf","pyridge","cv"
"catch22",22,0.8112,16,"SwedishLeaf","pyridge","cv"
"feasts",37,0.9152,16,"SwedishLeaf","pyridge","cv"
"tsfeatures",59,0.9168,16,"SwedishLeaf","pyridge","cv"
"TSFEL",144,0.9168,16,"SwedishLeaf","pyridge","cv"
"Kats",36,0.904,16,"SwedishLeaf","pyridge","cv"
"tsfresh",594,0.904,16,"SwedishLeaf","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",231,0.792,16,"SwedishLeaf","pyridge","cv"
"Quantiles",101,0.7248,16,"SwedishLeaf","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",130,0.5408,16,"SwedishLeaf","pyridge","cv"
"catch22",22,0.8256,17,"SwedishLeaf","pyridge","cv"
"feasts",37,0.9024,17,"SwedishLeaf","pyridge","cv"
"tsfeatures",59,0.904,17,"SwedishLeaf","pyridge","cv"
"TSFEL",144,0.9088,17,"SwedishLeaf","pyridge","cv"
"Kats",36,0.8752,17,"SwedishLeaf","pyridge","cv"
"tsfresh",594,0.8832,17,"SwedishLeaf","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",231,0.7744,17,"SwedishLeaf","pyridge","cv"
"Quantiles",101,0.688,17,"SwedishLeaf","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",130,0.552,17,"SwedishLeaf","pyridge","cv"
"catch22",22,0.7936,18,"SwedishLeaf","pyridge","cv"
"feasts",37,0.9136,18,"SwedishLeaf","pyridge","cv"
"tsfeatures",59,0.9152,18,"SwedishLeaf","pyridge","cv"
"TSFEL",144,0.9232,18,"SwedishLeaf","pyridge","cv"
"Kats",36,0.9008,18,"SwedishLeaf","pyridge","cv"
"tsfresh",595,0.912,18,"SwedishLeaf","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",231,0.8032,18,"SwedishLeaf","pyridge","cv"
"Quantiles",101,0.7312,18,"SwedishLeaf","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",130,0.5264,18,"SwedishLeaf","pyridge","cv"
"catch22",22,0.8336,19,"SwedishLeaf","pyridge","cv"
"feasts",37,0.9088,19,"SwedishLeaf","pyridge","cv"
"tsfeatures",59,0.9232,19,"SwedishLeaf","pyridge","cv"
"TSFEL",144,0.9216,19,"SwedishLeaf","pyridge","cv"
"Kats",36,0.8896,19,"SwedishLeaf","pyridge","cv"
"tsfresh",595,0.9088,19,"SwedishLeaf","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",231,0.792,19,"SwedishLeaf","pyridge","cv"
"Quantiles",101,0.7456,19,"SwedishLeaf","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",130,0.568,19,"SwedishLeaf","pyridge","cv"
"catch22",22,0.84,20,"SwedishLeaf","pyridge","cv"
"feasts",37,0.9168,20,"SwedishLeaf","pyridge","cv"
"tsfeatures",59,0.944,20,"SwedishLeaf","pyridge","cv"
"TSFEL",144,0.9312,20,"SwedishLeaf","pyridge","cv"
"Kats",36,0.9184,20,"SwedishLeaf","pyridge","cv"
"tsfresh",595,0.9072,20,"SwedishLeaf","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",231,0.7904,20,"SwedishLeaf","pyridge","cv"
"Quantiles",101,0.72,20,"SwedishLeaf","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",130,0.5552,20,"SwedishLeaf","pyridge","cv"
"catch22",22,0.8432,21,"SwedishLeaf","pyridge","cv"
"feasts",37,0.8992,21,"SwedishLeaf","pyridge","cv"
"tsfeatures",59,0.9136,21,"SwedishLeaf","pyridge","cv"
"TSFEL",144,0.9136,21,"SwedishLeaf","pyridge","cv"
"Kats",36,0.9056,21,"SwedishLeaf","pyridge","cv"
"tsfresh",594,0.9152,21,"SwedishLeaf","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",231,0.792,21,"SwedishLeaf","pyridge","cv"
"Quantiles",101,0.7376,21,"SwedishLeaf","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",130,0.5808,21,"SwedishLeaf","pyridge","cv"
"catch22",22,0.8208,22,"SwedishLeaf","pyridge","cv"
"feasts",37,0.9168,22,"SwedishLeaf","pyridge","cv"
"tsfeatures",59,0.9248,22,"SwedishLeaf","pyridge","cv"
"TSFEL",144,0.9184,22,"SwedishLeaf","pyridge","cv"
"Kats",36,0.88,22,"SwedishLeaf","pyridge","cv"
"tsfresh",594,0.9088,22,"SwedishLeaf","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",231,0.7648,22,"SwedishLeaf","pyridge","cv"
"Quantiles",101,0.7104,22,"SwedishLeaf","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",130,0.5488,22,"SwedishLeaf","pyridge","cv"
"catch22",22,0.7792,23,"SwedishLeaf","pyridge","cv"
"feasts",37,0.9136,23,"SwedishLeaf","pyridge","cv"
"tsfeatures",59,0.9264,23,"SwedishLeaf","pyridge","cv"
"TSFEL",144,0.9264,23,"SwedishLeaf","pyridge","cv"
"Kats",36,0.9104,23,"SwedishLeaf","pyridge","cv"
"tsfresh",595,0.9072,23,"SwedishLeaf","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",231,0.8048,23,"SwedishLeaf","pyridge","cv"
"Quantiles",101,0.7136,23,"SwedishLeaf","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",130,0.5488,23,"SwedishLeaf","pyridge","cv"
"catch22",22,0.8448,24,"SwedishLeaf","pyridge","cv"
"feasts",37,0.9168,24,"SwedishLeaf","pyridge","cv"
"tsfeatures",59,0.9072,24,"SwedishLeaf","pyridge","cv"
"TSFEL",144,0.92,24,"SwedishLeaf","pyridge","cv"
"Kats",36,0.9104,24,"SwedishLeaf","pyridge","cv"
"tsfresh",594,0.912,24,"SwedishLeaf","pyridge","cv"
