"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"FFT (Mag^2 + Angle) + quantiles",301,0.648,22,"Computers","pyridge","cv"
"Quantiles",101,0.68,22,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.592,22,"Computers","pyridge","cv"
"catch22",22,0.72,23,"Computers","pyridge","cv"
"feasts",39,0.736,23,"Computers","pyridge","cv"
"tsfeatures",59,0.764,23,"Computers","pyridge","cv"
"TSFEL",145,0.788,23,"Computers","pyridge","cv"
"Kats",36,0.772,23,"Computers","pyridge","cv"
"tsfresh",747,0.752,23,"Computers","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.636,23,"Computers","pyridge","cv"
"Quantiles",101,0.628,23,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.592,23,"Computers","pyridge","cv"
"catch22",22,0.74,24,"Computers","pyridge","cv"
"feasts",39,0.744,24,"Computers","pyridge","cv"
"tsfeatures",59,0.732,24,"Computers","pyridge","cv"
"TSFEL",145,0.788,24,"Computers","pyridge","cv"
"Kats",36,0.764,24,"Computers","pyridge","cv"
"tsfresh",747,0.784,24,"Computers","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.66,24,"Computers","pyridge","cv"
"Quantiles",101,0.708,24,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.58,24,"Computers","pyridge","cv"
"catch22",22,0.772,25,"Computers","pyridge","cv"
"feasts",39,0.752,25,"Computers","pyridge","cv"
"tsfeatures",59,0.812,25,"Computers","pyridge","cv"
"TSFEL",145,0.8,25,"Computers","pyridge","cv"
"Kats",36,0.752,25,"Computers","pyridge","cv"
"tsfresh",746,0.732,25,"Computers","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.668,25,"Computers","pyridge","cv"
"Quantiles",101,0.696,25,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.628,25,"Computers","pyridge","cv"
"catch22",22,0.732,26,"Computers","pyridge","cv"
"feasts",39,0.72,26,"Computers","pyridge","cv"
"tsfeatures",59,0.76,26,"Computers","pyridge","cv"
"TSFEL",145,0.832,26,"Computers","pyridge","cv"
"Kats",36,0.776,26,"Computers","pyridge","cv"
"tsfresh",747,0.672,26,"Computers","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.676,26,"Computers","pyridge","cv"
"Quantiles",101,0.66,26,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.616,26,"Computers","pyridge","cv"
